"","ArticleNo","Project.Start.Date","Participation.pretty","Biodiversity.Conservation","Watershed.Services","Landscape.Beauty","Carbon.Sequestration","Agro.Forestry","Area.Based..land.resource.cap.by.land.unit.","Public..state.payed.","Private..Buyers.pay.directly.","Use.restricting..reward.conservation.and.capping.","Asset.building..restoration.","Cash","Land.rights","Infrastructure..health.and.education.services.","Individual","Communal","Intrinsic","Extrinsic","Crowding.in","Crowding.out","Success.of.Project..Attitude.or.outcome.based.","Enviro.Success","enviro.suc.lvl","Economic.Success","econ.suc.lvl","Social.Success","soc.suc.lvl","motive"
"1","26",2005,5,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,"","","1","","Attitude",1,"low","0","none","1","low","notsuff"
"2","72",1997,4,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,"1","","1","0","Attitude",1,"low","","","1","high","intrin"
"3","45",2001,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"","1","0","1","Outcome",1,"med","1","low","1","low","extrin"
"4","102",1991,4,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,"","1","","1","Attitude",1,"low","1","med","","","extrin"
"5","98",2009,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,"","1","","1","Outcome",1,"med","0","none","0","none","extrin"
"6","4",2007,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,"","1","","0","Outcome",1,"med","1","high","","","extrin"
"7","86",2015,5,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,"1","","1","1","Attitude/Outcome",1,"low","","","1","high","intrin"
"8","76",2009,2,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,"1","","0","0","Outcome",1,"med","1","low","","","intrin"
"9","78",1998,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,"","1","","","Outcome",1,"low","","","1","low","extrin"
"10","61",2003,6,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,"1","","","","",1,"med","1","med","","","intrin"
"11","105",2003,5,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,"1","","1","0","Attitude",1,"low","1","med","1","high","intrin"
"12","35",2010,5,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,"1","","1","0","Outcome",1,"med","1","med","1","low","intrin"
"13","37",2003,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"","1","0","0","Outcome",1,"med","1","high","1","med","extrin"
"14","32",2010,5,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"","1","1","","attitude",1,"low","","","1","low","extrin"
"15","12",2003,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,"","","1","","attitude",1,"low","","","1","med","notsuff"
"16","",2006,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,"1","","1","","",1,"low","0","","","low","intrin"
"17","",2006,5,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,"","1","1","","",1,"med","1","none","1","none","extrin"
"18","",2013,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,"1","","1","1","",1,"med","1","low","1","none","intrin"
"19","",2007,5,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,"","","1","0","",1,"low","","med","1","low","notsuff"
"20","",2013,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,"","1","1","0","",1,"low","0","","1","","extrin"
"21","",2014,4,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,"1","","","0","",1,"med","1","med","0","","intrin"
"22","",2005,4,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,"","1","1","","",1,"med","1","","","low","extrin"
"23","",2010,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"","","1","","",1,"med","1","low","","","notsuff"
"24","",2001,6,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,"","1","","0","",1,"med","1","none","","med","extrin"
