"","ArticleNo","Project.Start.Date","Participation.pretty","Biodiversity.Conservation","Watershed.Services","Landscape.Beauty","Carbon.Sequestration","Agro.Forestry","Area.Based..land.resource.cap.by.land.unit.","Public..state.payed.","Private..Buyers.pay.directly.","Use.restricting..reward.conservation.and.capping.","Asset.building..restoration.","Cash","Land.rights","Infrastructure..health.and.education.services.","Individual","Communal","Intrinsic","Extrinsic","Crowding.in","Crowding.out","Success.of.Project..Attitude.or.outcome.based.","Enviro.Success","enviro.suc.lvl","Economic.Success","econ.suc.lvl","Social.Success","soc.suc.lvl"
"1","26","2005","5","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","","","1","","Attitude","1","low","0","none","1","low"
"2","72","1997","4","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","1","","1","0","Attitude","1","low","","","1","high"
"3","45","2001","4","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","","1","0","1","Outcome","1","med","1","low","1","low"
"4","102","1991","4","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","","1","","1","Attitude","1","low","1","med","",""
"5","98","2009","1","1","1","1","0","0","0","0","1","0","0","1","0","0","1","0","","1","","1","Outcome","1","med","0","none","0","none"
"6","4","2007","4","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","","1","","0","Outcome","1","med","1","high","",""
"7","86","2015","5","0","0","0","1","0","0","0","0","1","0","1","0","1","1","1","1","","1","1","Attitude/Outcome","1","low","","","1","high"
"8","76","2009","2","1","0","0","0","0","1","1","0","1","0","1","0","0","1","0","1","","0","0","Outcome","1","med","1","low","",""
"9","78","1998","2","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","","1","","","Outcome","1","low","","","1","low"
"10","61","2003","6","1","0","0","0","0","0","1","0","1","0","1","0","0","1","0","1","","","","","1","med","1","med","",""
"11","105","2003","5","0","0","0","1","1","1","0","0","0","1","1","0","0","1","1","1","","1","0","Attitude","1","low","1","med","1","high"
"12","35","2010","5","1","0","0","0","1","1","0","0","0","0","1","0","1","0","1","1","","1","0","Outcome","1","med","1","med","1","low"
"13","37","2003","4","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","","1","0","0","Outcome","1","med","1","high","1","med"
"14","32","2010","5","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","","1","1","","attitude","1","low","","","1","low"
"15","12","2003","4","1","1","0","0","0","0","0","0","0","0","1","0","1","0","1","","","1","","attitude","1","low","","","1","med"
"16",NA,"2006","1","1","1","0","1","0","0","0","0","0","0","1","0","1","1","0","1","","1","",NA,"1","low","0","","","low"
"17",NA,"2006","5","1","0","0","0","0","0","1","0","1","1","1","0","0","1","1","","1","1","",NA,"1","med","1","none","1","none"
"18",NA,"2013","1","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","","1","1",NA,"1","med","1","low","1","none"
"19",NA,"2007","5","1","0","0","0","0","1","0","0","1","0","1","0","0","1","0","","","1","0",NA,"1","low","","med","1","low"
"20",NA,"2013","4","1","0","0","0","0","1","0","0","0","0","1","0","0","1","1","","1","1","0",NA,"1","low","0","","1",""
"21",NA,"2014","4","1","1","0","1","0","1","0","0","1","0","0","0","0","1","1","1","","","0",NA,"1","med","1","med","0",""
"22",NA,"2005","4","1","0","1","0","1","1","0","0","0","0","1","0","0","1","0","","1","1","",NA,"1","med","1","","","low"
"23",NA,"2010","4","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","","","1","",NA,"1","med","1","low","",""
"24",NA,"2001","6","1","1","0","1","1","0","0","0","1","0","1","0","1","1","1","","1","","0",NA,"1","med","1","none","","med"
"25",NA,"1994","5","1","1","0","0","1","1","0","0","1","1","1","0","1","0","0","","1","1","1",NA,"1","med","1","","","low"
"26",NA,"2015","4","1","1","1","0","0","0","1","0","1","0","1","0","1","0","0","1","1","1","0",NA,"1","low","","med","","high"
"27",NA,"1997","5","1","0","1","1","0","0","1","0","0","1","1","0","0","1","0","1","","1","1",NA,"1","low","1","med","1","high"
"28",NA,"1991","4","1","1","0","0","0","0","1","0","1","1","1","0","0","1","1","1","1","0","1",NA,"1","low","","low","","low"
"29",NA,"1996","1","0","1","0","1","0","0","0","0","1","1","1","0","0","0","0","","","","1",NA,"1","low","1","med","","none"
"30",NA,"1997","5","1","1","0","1","1","0","0","0","0","1","1","0","0","1","1","1","","0","0",NA,"1","med","","med","1","low"
"31",NA,"2005","4","1","1","0","0","0","1","0","0","1","0","1","0","0","1","1","1","1","","",NA,"1","low","1","med","1","low"
"32",NA,"2008","4","1","0","1","1","0","1","0","0","1","0","0","0","1","1","1","","1","","1",NA,"1","low","0","low","1",""
"33",NA,"2003","6","0","0","0","0","1","0","1","0","1","0","1","0","0","1","0","","","0","",NA,"1","low","1","med","0",""
"34",NA,"1994","4","1","0","0","0","0","1","0","0","1","0","1","0","0","1","0","1","1","","0",NA,"1","med","1","low","","none"
"35",NA,"2007","5","1","1","0","1","0","0","0","0","0","0","1","0","0","1","1","1","","1","1",NA,"1","low","1","","1",""
"36",NA,"2007","4","1","1","0","0","0","0","1","1","1","0","1","0","1","1","1","","1","1","0",NA,"1","med","1","med","1","med"
"37",NA,"1997","5","0","1","0","0","0","0","0","0","1","0","1","0","0","1","1","","1","","0",NA,"1","med","0","low","1","low"
"38",NA,"1997","2","1","1","0","0","0","1","1","0","0","0","0","0","0","1","0","","","","0",NA,"1","med","","","","low"
"39",NA,"2000","2","1","1","0","0","1","1","0","0","1","0","1","0","0","0","0","1","1","1","",NA,"1","med","1","","0",""
"40",NA,"1998","6","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","","","1","0",NA,"1","low","1","med","1",""
"41",NA,"2011","5","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","","1","","0",NA,"1","med","","high","1","med"
"42",NA,"1996","4","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","","1","1","0",NA,"1","med","0","low","1",""
"43",NA,"2002","5","1","1","0","0","1","1","0","0","0","0","1","0","1","1","0","1","1","0","1",NA,"1","med","1","med","","high"
"44",NA,"2012","5","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","1","","","0",NA,"1","low","1","none","1","low"
