,,,,,,,,,,,,,,,,,,,,,,,,,,,,PES Target,,,,,,,,,PES Type (Wunder 2005),,,,,Payment Type,,,,,,Motivation,,,,,Crowding in/out (of Intrinsic Motivators),,,"Success of Project  (1 = positive, 0 = negative) (Also include low, med, high, until later date",,,,,,,,,,,
Data?,ArticleNo,Article,Authors,,,,,,,,YearPub.,Journal ,MultipleCase,#Chosen,Continent/Region,Country,Sub-region,"Scale (size of Project, take exact and create ranges later?)",National HDI (at time of study),Governance Voice Maybe,Governance Corruption Maybe,Project Name,"Project Description  (who, what, why) ",Project Start Date,Ecosystem Type,Eco-Category,"Participation (Pretty) - (1-7;  1 is manipulative participation, 7 is self mobilization) ",Biodiversity Conservation,Watershed Services,Landscape Beauty,Carbon Sequestration,Agro-Forestry,TBD,Who's incharge of the PES system (more specific to CS) ,,,Area Based (land/resource cap by land unit),Public (state payed),Private (Buyers pay directly),Use-restricting (reward conservation and capping),Asset-building (restoration),Cash,Land rights,Infrastructure (health and education services),Individual,Communal,**Payment Notes**,Intrinsic,Extrinsic,Unclear,Incentive Likert Scale of Certainty (1-5; 5 is certain),Comment on Decision,Crowding in,Crowding out,Comments on decision,Success of Project (Attitude or outcome based),Enviro Success ,"Success Level (low, med, high)",Economic Success,"Success Level (low, med, high)",Social Success,"Success Level (low, med, high)",Measurement of Social Success,Success Notes,General Notes*,Coder,Questions
,26,Payments for environmental services in Indonesia: What if economic signals were lost in translation?,"Lapeyre, Renaud","Pirard, Romain","Leimona, Beria",,,,,,2015,Land Use Policy,,,,Indonesia,Banten Region,382 Households over 10 years,0.684,,,Cidanau Watershed PES Scheme (working title) ,"A downstream Water company acted as a benficiary, used a Catchment communication forum as an intermediate and had an NGO as the implimentor. Payment for planted/conserved land. To Battle siltration of water. ",2005,,,5,,1,,,,,Water Company - Catchment Forum - NGO,,,,,,1,1,1,,,,,Distributed to group leader then to individuals.,,,1,4,Payment was largest motivator to participate. Little knowledge distribution,1,,"In - 81% would keep trees (no indication of past view), many people (35%) joined the program for largely social reasons. Out Not Enough Information. (desire and trends of deforestation were not compared b&a",Attitude,1,low,0,,1,low,Greater social cohesion due to motivators to participate being social,"Econ - had no system to target critical lands, and 70% of lands didn't need trees added. Enviro - 70% of land already had trees, thus not that useful. Large leakages, and currently lack rigorou ecological impact eval. ",The program used farm groups. Resulted in little knowledge distribution and therefore greater hindered autonomy. ,JA,
n,49,Spatial targeting of payments for environmental services: A tool for boosting conservation benefits,"Wünscher, Tobias","Engel, Stefanie","Wunder, Sven",,,,,,2008,Ecological Economics,,,,Costa Rica,Nicoya Peninsula,,0.75,,,Part of Costa Rica's PSA program (PSA = Pagos por Servicios Ambientales),Costa Rica's PSA - Funded by the National Fund for Forest Financing (FONAFIFO). Intermediaries charge 18% to process small and medium size land claims. 12% for large plots. ,2004,,,,1,,,,1,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,JA,
n,40,The working for water programme: Evolution of a payments for ecosystem services mechanism that addresses both poverty and ecosystem service delivery in South Africa,"Turpie, J.K.","Marais, C.","Blignaut, J. N. ",,,,,,2008,Ecological Economics,,,,South Africa,,National - ,,,,Working for Water ,"Working for Water is a government funded programme targetting mountain catchments and riparian zones to clear invasive plants to return natural fire cycles, the productive land potential, biodiversity, and hydroligical functioning. Largely a poverty relief fund. Service providers are previously unemployed individuals that tender for contracts to restore public or private land. ",1995,,,1 (or else not applicable),,1,,,,,"The Government, also some municipalities and companies",,,,1,,,,1,,,1,,Payed to individual contractors,,,,,,,,,,,,,,,,,,Lacks information on finding the 'workers.' Milton et al 2003 may provide these though.,JA,
,72,"Participation dynamics and institutional change in the Scolel Té carbon forestry project, Chiapas, Mexico","Hendrickson, Cary Y. ","Corbera, Esteve",,,,,,,2015,Geoforum,,,,Mexico,Chiapas,2437 participants,,,,Scolel Té ,"The Plan Vivo foundation provides payments to individuals and communities that undergo activities including afforestation, egraforestry, forest conservation, etc. ",1997,,,4,,,,1,1,,Plan Vivo offers their certificates to individuals and communities,,,,,,,,1,,,1,,Paid to individual contractors,1,,,5,Very strong interview comments on compentence and relatedness,1,0,"In - Social benefits, bringing 2 groups together, and increased yeild with crops. Out - people did not participate if they didn't want to, and thus maintained their habits, while participants all had positive comments on their livelihood alterations",Attitude,1,low,,,1,high,Used to bridge previous social divides and increase livelihood of participants. ,"Econ - no mention of financial efficiencies or leakages. Enviro - difficult to rate success based on the scale of the project, no specific mentions of successes or faults were mentioned. Would give med, since success is neutral. ","Overall, very positive, yet in 2 out of 4 communities, the social dynamics between the better off compared to the worse off, resulted in a lack of participation of one party.",JA,
,45,Performance and prospects of payments for ecosystem services programs: Evidence from China,"Yang, Wu","Lui, Wei","Viña, Andrés","Luo, Junyan","He, Guangming","Ouyang, Zhiyun","Liu, Jiangou","Zhang, Hemin",2013,Journal of Environmental Management,,,,China,Sichuan,1130 households (~4900 plp),,,,Natural Forest Conservation Program (NFCP) ,"Program aimed to conserve forests via logging bans and reforestation incentives. The program is operated by local forestry bureaus amd seldom engage households, yet the focus in this instance in the Wolong Nature Reserve for Red Pandas worked with households. Individuals and groups are responsible to look outfor/report illegal action",2001,,,4,1,,,,,,NFCP & the Wolong Administrative Bureau. ,,,,1,,,,,,,1,1,~75% of the land was the responsibility of groups.,,1,,5,"From interviews, largest incentive was payment. Discussion of the cultural loss, and crop loss as frustrations",0,1,"Out - People were frustrated with the crop raids from wildlife and the inability to easily continue cultural practices dependent on the forest. In - no specific mention to the adoption of pro-enviro beliefs, rather just the recognition that the program was good for their well-being and the enviroment. ",Outcome,1,med,1,low,1,low,"Well received from people (89%), except has got in the way of some cultural traditions.  Ppl could be more involved in tourism","Econ - viewed as successful since they prioritized areas of both high importance and high agricultural value. Didn't pay for unnecessary protection. Enviro - did an analysis demonstrating forest cover with/without PES, demonstrated it's successes. As well, pandas recovered faster in PES plots than gov. plots. ",,JA,"Are we doing economic success socially, or for the program?"
n,50,Payments for environmental services in Costa Rica,"Pagoila, Stefano",,,,,,,,2008,Ecological Economics,,,,Costa Rica,,,,,,PSA - (Already surfaced),A very large overview of the entire program (which is sooo big) and therefore no mention of the motivation of people partaking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JA,
,102,Networks of agri-environmental policy implementation: a case study of England's Countryside Stewardship SchemeNetworks of agri-environmental policy implementation: a case study of England's Countryside Stewardship Scheme,"Morris, Carol",,,,,,,,2004,Land Use Policy,,,,England,,"National. < than 10,000 agreements",,,,Countrtside Stewardship Scheme (CSS),"CSS is a voluntary grant scheme that ofers payments to farmers and other land managers for the conservation of the countryside, and aims to integrate conservation into everyday farming and land management.",1991,,,,1,,1,,,,The Countryside Commission (more recently the DEFRA,,,1,1,,1,,1,,,1,,,,1,,4,Some people didn't actively choose to participate. Didn't feel that they had freedom or the ability to complete all required tasks. ,,1,"Out - frustration throughout the program based on lack of real 'farm' and geographic knowledge, and also expressed lapses in trust of the government in the farmers. As well, felt the program to be controlling. In - inadequate information regarding positive take-aways from the program other than one comment on fatter cows. No reference to increased environmental awareness. ",Attitude,1,low,1,med,,,No conclusive mention of social benefits. ,"Econ - applications are discretionary, thus some are rejected. Gave additional payments to programs that took on additional jobs, thus good connection between investment and returns. Enviro - the program has been running for numerous years, and they have succeeded in their goals of increasing habitat on farms and overall landscape beauty. ",,JA,
n,3,"Analysis of the ecological conservation behavior of farmers in paymentfor ecosystem service programs in eco-environmentally fragile areasusing social psychology models","Deng, Jian","Pingsheng, Sun","Zhao, Fazhu","Han, Xinhui ","Yang, Gaihe","Feng, Yongzhong",,,2016,Science of the Total Environment,,,,China,"Loess Plateau,  specifically the Shaanix province",22.54 mil households,,,,Grain to Green Program,"Aimed to restore damaged natural vegetation, prevent soil erosion in EEF areas and support rural economic development",1999,,,,1,1,,,,,,,,,,,,,1,,,1,,8-year contract that have undergone constant renewal.,,,,,Paper failed to outline the perceptions in a coherent way to be avialable to comment on motivation,,,,,,,,,,,,,"The paper had done large amounts of inteviews. But did not present the data in such a way that it was easy to understand the 'common' experience of people within the program. The paper focused mostly on what motivators were most effective, but failed to mention the presence of said motivators within the article ",JA,
,98,Broadening stakeholder participation to improve outcomes for dam-forced resettlement in Vietnam,"Singer, Jane","Ty, Pham Huu","Hai, Hoang",,,,,,2014,Water Resources and Rural Development,,,,Vietnam,"Dong Giang district, Quang Nam Province",,,,,,"This pilot PFES (P Forest ES), was a mandatory program for people who had been relocated due to the introduction of dams throughout the country. ",2009,,,1,1,1,1,,,,"This is all state run. Where $ is given to district, then to households. ",,,,,1,,,1,,,1,,"Eco-tourism, and water companies pay PES charge",,1,,5,No choice in their participation,,1,"In - there was no mention of the actual experience of participants, thus hard to claim whether any crowding in, did or did not occur. Out -  The structure of the program largely favours crowding-out to occur. Additionally, the mandatory nature of the program combined with it's inability to adequately fill the poverty gap, will result in pressure to free-ride and go against the program. ",Outcome,1,med,0,,0,,"The additional income from the PFES, is insufficient in lifting subsistence farmers above rural poverty line. Also limited ops for training, and livelihood improvement","Enviro - during pilot program, illegal logging was halved. Econ - failed to introduced tiered payment to different properties due to participant desire. Also they plan to effect payment based on monitored performance, but have not done so yet, thus are paying free-riders, due to a lack of performance incentives. ","Although the paper talks about using sources, such as interviews with participants, the paper didn't mention to experience of participants as much as I would have liked",JA,Did I read too much into the crowding-out?
